RecordID,Season,Team,Conference,Overall Seed,Bid Type,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,WL,Conf.Record,Non-ConferenceRecord,RoadWL,NETSOS,NETNonConfSOS,Quadrant1,Quadrant2,Quadrant3,Quadrant4
2020-21-Rutgers,2020-21,Rutgers,Big Ten,40,AL,38,38,5,65,15-11,11-Nov,Apr-00,6-Apr,10,256,9-Apr,2-Jun,Mar-00,Feb-00
2020-21-BYU,2020-21,BYU,WCC,23,AL,20,20,75,112,19-6,4-Nov,2-Aug,2-Jul,53,65,4-Mar,2-May,Jun-00,May-00
2020-21-UMES,2020-21,UMES,MEAC,,,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
2020-21-Buffalo,2020-21,Buffalo,MAC,,,79,80,160,171,15-8,14-6,2-Jan,3-May,182,113,0-1,3-Jan,4-Jun,Aug-00
2020-21-Furman,2020-21,Furman,SoCon,,,75,75,140,160,13-9,6-Oct,3-Mar,7-May,145,96,0-2,4-Jan,3-Jul,May-00
2020-21-SanJoseSt.,2020-21,San Jose St.,Mountain West,,,332,332,119,150,16-Mar,14-Mar,0-2,0-8,85,133,0-7,0-2,0-3,4-Mar
2020-21-NorthCarolina,2020-21,North Carolina,ACC,31,AL,32,32,26,84,18-10,7-Dec,3-Jun,7-Mar,31,86,9-Mar,Aug-00,1-Apr,Mar-00
2020-21-EasternIll.,2020-21,Eastern Ill.,OVC,,,304,304,294,228,18-Sep,14-Jun,4-Mar,11-Apr,246,150,0-1,0-3,6-Jan,8-Aug
2020-21-MissouriSt.,2020-21,Missouri St.,MVC,,,97,97,155,170,15-7,13-7,Feb-00,2-Jul,173,323,0-3,0-2,2-Jul,Aug-00
2020-21-LoyolaMaryland,2020-21,Loyola Maryland,Patriot,,,151,151,153,166,11-Jun,11-Jun,0-0,7-Mar,157,,0-1,2-Feb,0-5,3-Apr
2020-21-Marist,2020-21,Marist,MAAC,,,230,230,308,233,9-Dec,9-Oct,Feb-00,5-Jun,339,325,0-0,0-0,5-Mar,4-Sep
2020-21-MoreheadSt.,2020-21,Morehead St.,OVC,56,AQ,121,122,235,208,21-7,20-3,4-Jan,5-Aug,191,17,0-3,2-Jan,1-Jun,14-1
2020-21-OhioSt.,2020-21,Ohio St.,Big Ten,6,AL,8,8,3,62,21-9,15-9,Jun-00,4-Jul,5,203,7-Sep,2-Jun,Apr-00,Feb-00
2020-21-OregonSt.,2020-21,Oregon St.,Pac-12,46,AQ,91,91,55,98,16-12,13-10,2-Mar,6-Apr,63,312,5-May,4-Feb,1-Apr,2-May
2020-21-MontanaSt.,2020-21,Montana St.,Big Sky,,,225,225,276,220,10-Nov,7-Oct,3-Jan,6-Jun,281,214,0-0,0-4,3-Feb,3-Sep
2020-21-Rider,2020-21,Rider,MAAC,,,278,278,216,201,17-Jun,14-Jun,0-3,8-Apr,262,44,0-2,0-0,7-Feb,8-Apr
2020-21-St.FrancisBrooklyn,2020-21,St. Francis Brooklyn,NEC,,,235,235,252,216,10-Sep,9-Sep,0-1,4-May,336,302,0-0,0-0,3-Jun,7-Mar
2020-21-SouthernU.,2020-21,Southern U.,SWAC,,,288,288,342,265,11-Aug,7-Aug,0-4,7-Mar,230,10,0-2,0-1,0-2,6-Aug
2020-21-Davidson,2020-21,Davidson,Atlantic 10,,,58,58,101,133,8-Dec,5-Aug,3-Apr,2-Apr,108,205,0-4,2-Apr,1-Apr,1-Apr
2020-21-MississippiVal.,2020-21,Mississippi Val.,SWAC,,,347,347,264,218,22-Feb,14-Feb,0-8,16-Jan,179,24,0-3,0-4,0-3,12-Feb
2020-21-Elon,2020-21,Elon,CAA,,,184,184,200,195,9-Sep,8-Jul,1-Feb,6-Apr,258,283,0-0,0-0,9-Apr,May-00
2020-21-Michigan,2020-21,Michigan,Big Ten,4,AL,4,4,8,66,20-4,15-4,May-00,2-Jun,19,261,3-Aug,1-Jun,Apr-00,Feb-00
2020-21-SanFrancisco,2020-21,San Francisco,WCC,,,105,105,113,142,14-Nov,10-May,4-Jun,6-Mar,86,144,5-Jan,4-Jan,4-Feb,1-Jul
2020-21-Louisville,2020-21,Louisville,ACC,,,56,56,30,86,13-7,6-Aug,1-May,4-Apr,46,114,6-Jan,Jun-00,1-Apr,Feb-00
2020-21-CaliforniaBaptist,2020-21,California Baptist,WAC,,,249,249,299,229,10-Sep,7-Jun,3-Mar,4-Jan,277,246,0-1,1-Jan,3-Jan,5-Jul
2020-21-Hartford,2020-21,Hartford,America East,64,AQ,162,161,285,222,15-8,6-Dec,2-Mar,6-May,231,94,0-2,Jan-00,5-Mar,1-Nov
2020-21-Georgetown,2020-21,Georgetown,Big East,47,AQ,64,64,14,72,13-12,9-Nov,3-Feb,6-Feb,29,92,9-Mar,1-May,2-Apr,Jan-00
2020-21-TheCitadel,2020-21,The Citadel,SoCon,,,209,209,127,154,12-Sep,12-Jun,Mar-00,8-Jan,171,321,0-1,0-6,5-Apr,May-00
2020-21-SetonHall,2020-21,Seton Hall,Big East,,,57,57,22,77,14-13,10-Nov,3-Mar,7-Jun,36,53,9-Mar,3-May,1-Apr,Feb-00
2020-21-BoiseSt.,2020-21,Boise St.,Mountain West,,,50,50,121,151,17-8,14-7,1-Mar,6-Apr,97,14,4-Feb,3-Feb,Apr-00,1-Sep
2020-21-Auburn,2020-21,Auburn,SEC,,,66,66,33,87,13-14,11-Jul,3-Jun,8-Mar,27,72,9-Jan,3-May,2-Feb,May-00
2020-21-ChicagoSt.,2020-21,Chicago St.,WAC,,,346,346,132,156,0-9,0-0,0-9,0-7,62,58,0-3,0-2,0-0,0-4
2020-21-MurraySt.,2020-21,Murray St.,OVC,,,196,196,321,238,13-Nov,11-Oct,2-Jan,8-Apr,321,310,0-0,0-2,6-Jan,5-Oct
2020-21-TarletonSt.,2020-21,Tarleton St.,WAC,,,255,255,222,203,10-May,7-May,0-3,7-Apr,247,87,0-1,0-1,4-Jan,4-Apr
2020-21-Stanford,2020-21,Stanford,Pac-12,,,78,78,56,99,14-13,11-Oct,2-Apr,6-Jun,45,73,6-Apr,5-Jan,2-Jun,Mar-00
2020-21-NorthAla.,2020-21,North Ala.,ASUN,,,282,282,321,238,11-Sep,9-Sep,0-2,6-Mar,286,135,0-1,0-3,0-0,7-Sep
2020-21-UNI,2020-21,UNI,MVC,,,194,194,109,140,15-Aug,11-Aug,0-4,7-Mar,117,28,0-5,0-3,5-Mar,2-May
2020-21-PurdueFortWayne,2020-21,Purdue Fort Wayne,Horizon,,,283,284,312,234,15-Aug,15-Jul,Jan-00,9-Mar,338,330,0-0,0-0,8-Mar,7-May
2020-21-HoustonChristian,2020-21,Houston Christian,Southland,,,334,334,260,217,19-May,12-May,0-7,12-Jan,196,70,0-4,0-2,0-4,9-May
2020-21-UTRGV,2020-21,UTRGV,WAC,,,289,289,285,222,10-May,6-Feb,4-Mar,5-Jan,266,215,0-1,0-0,0-6,3-May
2020-21-OleMiss,2020-21,Ole Miss,SEC,,,53,53,75,112,16-11,9-Nov,2-May,6-May,74,273,5-Mar,4-Apr,2-Apr,May-00
2020-21-JacksonSt.,2020-21,Jackson St.,SWAC,,,256,256,342,265,6-Dec,1-Dec,0-5,5-May,290,75,0-1,0-2,0-2,1-Dec
2020-21-Dartmouth,2020-21,Dartmouth,Ivy League,,,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
2020-21-Creighton,2020-21,Creighton,Big East,17,AL,26,25,52,97,20-8,16-7,1-Apr,4-Jul,68,186,3-Jul,3-May,2-Apr,Apr-00
2020-21-NorfolkSt.,2020-21,Norfolk St.,MEAC,67,AQ,170,169,308,233,14-7,4-Oct,3-Apr,3-Jun,318,235,0-0,1-Jan,1-Apr,5-Sep
2020-21-Cincinnati,2020-21,Cincinnati,The American,,,124,115,69,107,11-Dec,7-Oct,4-Feb,5-May,80,82,4-Jan,4-Apr,2-Apr,1-Mar
2020-21-Houston,2020-21,Houston,The American,8,AQ,5,5,101,133,23-3,17-3,Jun-00,3-May,133,157,1-Feb,1-Jun,1-Oct,May-00
2020-21-WesternMich.,2020-21,Western Mich.,MAC,,,299,299,142,162,16-Apr,12-Apr,0-4,7-Mar,160,180,0-2,0-5,4-Jan,5-Mar
2020-21-VMI,2020-21,VMI,SoCon,,,146,146,130,155,12-Oct,8-Aug,4-Feb,10-Jan,146,120,0-2,4-Mar,5-Feb,1-May
2020-21-UtahTech,2020-21,Utah Tech,WAC,,,317,317,264,218,13-Jun,10-Apr,3-Feb,6-Mar,252,129,0-1,0-1,3-Jan,8-May
2020-21-WesternIll.,2020-21,Western Ill.,Summit League,,,313,313,285,222,15-Jun,10-May,5-Jan,9-Apr,240,175,0-1,0-2,0-5,7-Jun
2020-21-Delaware,2020-21,Delaware,CAA,,,220,220,213,200,8-Jun,5-May,3-Jan,4-Jan,327,276,0-0,0-0,5-Feb,3-Apr
2020-21-EasternKy.,2020-21,Eastern Ky.,OVC,,,152,152,325,241,20-7,16-6,1-Apr,4-Sep,310,270,0-1,0-2,1-Apr,16-3
2020-21-Georgia,2020-21,Georgia,SEC,,,98,98,47,94,13-12,12-Jul,Jun-00,6-Feb,44,309,7-Mar,2-Mar,3-Mar,Apr-00
2020-21-PortlandSt.,2020-21,Portland St.,Big Sky,,,268,268,279,221,12-Jun,9-Jun,0-3,6-Feb,305,154,0-0,0-2,5-Jan,5-May
2020-21-OralRoberts,2020-21,Oral Roberts,Summit League,61,AQ,158,159,216,201,13-10,13-5,0-5,7-May,159,3,0-5,0-0,3-Apr,2-Sep
2020-21-UCF,2020-21,UCF,The American,,,103,103,67,106,12-Nov,11-Sep,1-Feb,8-Apr,70,1,6-Jan,4-Feb,2-May,Mar-00
2020-21-CalSt.Fullerton,2020-21,Cal St. Fullerton,Big West,,,257,257,207,197,10-May,8-May,0-2,5-Jan,213,301,0-2,0-0,2-Feb,6-Mar
2020-21-LMU(CA),2020-21,LMU (CA),WCC,,,99,99,92,127,13-9,6-Aug,3-May,5-Apr,104,130,0-3,5-Mar,1-Jun,Apr-00
2020-21-N.C.A&T,2020-21,N.C. A&T,MEAC,,,284,283,300,230,10-Sep,1-Jul,9-Feb,6-May,198,146,0-2,0-1,0-4,3-Sep
2020-21-LittleRock,2020-21,Little Rock,Sun Belt,,,228,229,229,206,15-Oct,12-Jul,3-Mar,8-Feb,278,162,0-0,0-3,5-Feb,7-Aug
2020-21-Villanova,2020-21,Villanova,Big East,18,AL,17,16,30,86,16-6,5-Nov,1-May,4-Apr,61,107,3-May,3-Apr,Jun-00,Jan-00
2020-21-BowlingGreen,2020-21,Bowling Green,MAC,,,139,140,161,172,13-11,9-Oct,2-Mar,3-Oct,148,119,1-Jan,3-Mar,4-Mar,3-Jun
2020-21-Oregon,2020-21,Oregon,Pac-12,25,AL,33,34,69,107,20-6,15-5,1-May,2-Jul,82,185,3-Feb,1-Jul,2-Jul,Apr-00
2020-21-Utah,2020-21,Utah,Pac-12,,,89,89,65,105,13-Dec,12-Sep,1-Mar,7-Mar,59,171,6-Feb,4-Feb,2-Apr,1-Apr
2020-21-KennesawSt.,2020-21,Kennesaw St.,ASUN,,,335,335,222,203,19-Feb,14-Feb,0-5,0-9,190,63,0-1,0-5,0-1,12-Feb
2020-21-KansasSt.,2020-21,Kansas St.,Big 12,,,182,183,49,95,19-Sep,15-May,4-Apr,7-Feb,20,240,0-15,1-Jan,2-Mar,1-May
2020-21-Howard,2020-21,Howard,MEAC,,,312,311,170,177,3-Jan,0-0,3-Jan,0-0,224,259,0-0,0-1,0-1,1-Jan
2020-21-SouthernUtah,2020-21,Southern Utah,Big Sky,,,129,129,304,232,15-4,13-3,1-Feb,3-May,299,242,0-0,3-Jan,Feb-00,1-Dec
2020-21-Miami(FL),2020-21,Miami (FL),ACC,,,149,149,59,101,17-Oct,16-Jun,1-Apr,8-Jan,52,264,7-Mar,5-Mar,0-4,1-Apr
2020-21-Merrimack,2020-21,Merrimack,NEC,,,224,223,270,219,9-Sep,9-Sep,0-0,6-Mar,317,,0-0,0-1,6-Jan,2-Aug
2020-21-Harvard,2020-21,Harvard,Ivy League,,,,,,,0-0,0-0,0-0,0-0,,,0-0,0-0,0-0,0-0
2020-21-Campbell,2020-21,Campbell,Big South,,,202,202,303,231,15-10,13-7,3-Feb,7-Jun,243,255,0-4,0-0,2-Feb,13-4
2020-21-BallSt.,2020-21,Ball St.,MAC,,,172,172,146,164,13-Oct,10-Aug,3-Feb,8-Mar,137,118,0-2,5-Jan,6-Feb,Jul-00
2020-21-Maine,2020-21,Maine,America East,,,308,308,197,194,7-Feb,6-Feb,0-1,6-Jan,220,254,0-0,0-2,0-3,2-Feb
2020-21-DePaul,2020-21,DePaul,Big East,,,163,163,38,89,14-May,14-Mar,Feb-00,5-Feb,51,324,6-Jan,5-Feb,0-3,Feb-00
2020-21-UTMartin,2020-21,UT Martin,OVC,,,338,338,247,215,16-Jul,14-Jun,2-Jan,9-Feb,271,193,0-1,0-2,0-7,6-Jul
2020-21-Colorado,2020-21,Colorado,Pac-12,20,AL,15,15,67,106,22-8,16-7,1-Jun,6-Jun,78,200,4-Mar,1-Jul,3-Sep,Mar-00
2020-21-FloridaA&M,2020-21,Florida A&M,MEAC,,,285,285,330,244,12-Aug,6-Jul,6-Jan,10-Apr,205,42,0-3,0-1,0-2,6-Aug
2020-21-Kentucky,2020-21,Kentucky,SEC,,,60,60,2,56,16-Sep,10-Aug,6-Jan,6-Apr,13,27,11-Mar,4-Mar,1-Mar,0-0
2020-21-NorthFlorida,2020-21,North Florida,ASUN,,,296,296,276,220,14-Jul,7-Jun,7-Jan,10-Mar,209,163,0-2,0-2,0-3,7-Jul
2020-21-Tennessee,2020-21,Tennessee,SEC,19,AL,13,13,42,91,18-8,8-Nov,Jul-00,4-Apr,42,183,6-Jun,2-Feb,Jun-00,Apr-00
2020-21-Bucknell,2020-21,Bucknell,Patriot,,,212,213,190,191,7-May,7-May,0-0,4-Mar,180,,0-1,0-1,3-Jan,2-Apr
2020-21-NotreDame,2020-21,Notre Dame,ACC,,,93,93,25,83,15-Nov,12-Aug,3-Mar,8-Apr,30,32,11-Mar,3-Jan,1-Mar,Apr-00
2020-21-NIU,2020-21,NIU,MAC,,,337,337,170,177,16-Mar,12-Feb,4-Jan,9-Jan,152,137,0-2,0-4,4-Jan,6-Feb
2020-21-RhodeIsland,2020-21,Rhode Island,Atlantic 10,,,108,108,83,116,15-Oct,11-Jul,4-Mar,9-Feb,92,100,3-Feb,8-Jan,3-Apr,1-Mar
2020-21-Oklahoma,2020-21,Oklahoma,Big 12,32,AL,36,37,62,103,15-10,9-Oct,1-May,6-Apr,26,159,9-May,0-0,1-Apr,Jun-00
2020-21-St.Bonaventure,2020-21,St. Bonaventure,Atlantic 10,37,AQ,23,27,85,118,16-4,14-4,Feb-00,3-Apr,99,239,2-Apr,1-Mar,1-May,Apr-00
2020-21-SFA,2020-21,SFA,Southland,,,147,147,338,255,13-5,3-Dec,2-Jan,4-Jun,256,62,0-2,0-1,Jan-00,2-Dec
2020-21-NewMexicoSt.,2020-21,New Mexico St.,WAC,,,175,175,308,233,8-Sep,7-Sep,0-1,5-Apr,312,316,0-0,0-2,0-1,5-Sep
2020-21-NorthernColo.,2020-21,Northern Colo.,Big Sky,,,263,263,252,216,11-Aug,9-Jul,2-Jan,5-Apr,216,16,0-2,0-1,3-Feb,5-Jun
2020-21-SanDiego,2020-21,San Diego,WCC,,,250,250,86,124,11-Mar,8-Feb,3-Jan,5-Mar,76,115,0-3,0-3,5-Jan,Feb-00
2020-21-California,2020-21,California,Pac-12,,,165,165,52,97,20-Aug,18-Apr,2-Apr,11-Jan,71,234,6-Jan,8-Feb,6-Jan,Apr-00
2020-21-DetroitMercy,2020-21,Detroit Mercy,Horizon,,,166,166,264,218,10-Dec,7-Nov,3-Jan,5-May,273,134,0-1,0-3,3-Jan,3-Nov
2020-21-ClevelandSt.,2020-21,Cleveland St.,Horizon,60,AQ,160,160,242,213,19-7,19-4,0-3,5-Aug,215,6,3-Jan,0-1,0-0,18-3
2020-21-Pittsburgh,2020-21,Pittsburgh,ACC,,,100,100,65,105,12-Oct,11-Jun,1-Apr,5-Mar,77,271,5-Jan,3-Apr,3-Feb,1-Mar
2020-21-Ark.-PineBluff,2020-21,Ark.-Pine Bluff,SWAC,,,342,342,264,218,21-Apr,13-Mar,8-Jan,17-Feb,167,23,0-4,0-2,0-4,11-Apr
2020-21-Iowa,2020-21,Iowa,Big Ten,7,AL,6,6,35,88,21-8,15-7,1-Jun,4-Jun,15,165,6-Aug,2-May,Mar-00,May-00
2020-21-Grambling,2020-21,Grambling,SWAC,,,300,300,338,255,12-Nov,7-Oct,5-Jan,7-May,282,81,0-2,0-1,2-Jan,7-Oct
2020-21-NewHampshire,2020-21,New Hampshire,America East,,,239,239,260,217,9-Sep,7-Sep,0-2,3-May,340,286,0-0,0-0,3-Mar,6-Jun
2020-21-Texas,2020-21,Texas,Big 12,11,AQ,21,21,26,84,19-7,13-6,1-Jun,2-Jun,21,89,6-Aug,1-Feb,May-00,Apr-00
2020-21-TexasSt.,2020-21,Texas St.,Sun Belt,,,157,157,327,242,17-6,4-Dec,2-May,3-Sep,300,218,0-1,0-1,1-Mar,14-3
2020-21-Northwestern,2020-21,Northwestern,Big Ten,,,92,92,10,67,15-Aug,14-Jun,1-Feb,8-Feb,2,304,11-Feb,3-Mar,1-Jan,Feb-00
2020-21-SaintMary's(CA),2020-21,Saint Mary's (CA),WCC,,,62,62,73,110,14-9,7-May,2-Sep,3-Feb,66,201,0-6,2-Apr,1-Jun,Apr-00
2020-21-Bradley,2020-21,Bradley,MVC,,,174,174,124,152,16-Oct,13-Jun,3-Apr,9-Feb,131,142,0-4,5-Feb,3-Feb,4-Jun
2020-21-PrairieView,2020-21,Prairie View,SWAC,,,201,203,344,270,16-5,15-1,4-Jan,3-May,334,156,0-1,0-1,1-Jan,15-2
2020-21-BostonU.,2020-21,Boston U.,Patriot,,,176,176,104,135,11-Jul,11-Jul,0-0,5-May,90,,0-5,1-Jan,3-Apr,2-Feb
2020-21-EastCarolina,2020-21,East Carolina,The American,,,180,180,107,138,11-Jul,11-Feb,May-00,4-Jan,132,308,2-Jan,0-3,5-Feb,1-Apr
2020-21-UNCAsheville,2020-21,UNC Asheville,Big South,,,240,240,294,228,10-Oct,6-Sep,4-Jan,6-Apr,254,257,1-Jan,0-1,2-Jan,6-Aug
2020-21-American,2020-21,American,Patriot,,,192,193,106,137,6-Apr,6-Apr,0-0,4-Feb,147,,0-0,0-3,3-Mar,Jan-00
2020-21-Minnesota,2020-21,Minnesota,Big Ten,,,77,77,15,73,14-15,15-Jul,Jul-00,0-10,11,266,11-Apr,3-Mar,1-Mar,Apr-00
2020-21-SaintLouis,2020-21,Saint Louis,Atlantic 10,,,43,43,115,145,14-6,5-Jul,1-Jul,4-Jan,122,219,2-Feb,2-Feb,2-Apr,Jun-00
2020-21-FDU,2020-21,FDU,NEC,,,238,238,219,202,15-Sep,10-Aug,5-Jan,9-May,260,149,0-1,0-1,6-May,7-Apr
2020-21-WesternKy.,2020-21,Western Ky.,CUSA,,,81,81,135,157,20-7,13-4,3-Jul,3-May,124,43,3-Jan,1-Mar,3-Jul,Sep-00
2020-21-UMBC,2020-21,UMBC,America East,,,136,137,252,216,14-6,5-Oct,1-Apr,2-Sep,307,258,0-1,0-0,1-Jul,4-Jul
2020-21-Fairfield,2020-21,Fairfield,MAAC,,,273,273,229,206,17-Oct,12-Oct,0-5,8-Mar,308,237,0-0,0-1,10-May,6-May
2020-21-MississippiSt.,2020-21,Mississippi St.,SEC,,,82,82,57,100,15-14,11-Sep,3-Jun,4-May,56,216,8-Jan,4-Jun,2-Apr,Apr-00
2020-21-Monmouth,2020-21,Monmouth,MAAC,,,193,192,252,216,8-Dec,7-Dec,0-1,5-May,319,291,0-0,0-0,6-Jan,2-Nov
2020-21-PennSt.,2020-21,Penn St.,Big Ten,,,42,42,1,49,14-Nov,13-Aug,1-Mar,8-Mar,1,56,12-Mar,1-Apr,1-Apr,0-0
2020-21-SanDiegoSt.,2020-21,San Diego St.,Mountain West,24,AQ,18,18,97,131,22-4,17-3,1-May,2-Jun,116,78,3-Jan,1-Jul,Aug-00,Jun-00
2020-21-VirginiaTech,2020-21,Virginia Tech,ACC,38,AL,48,48,78,113,15-6,5-Sep,1-Jun,3-Mar,88,202,3-Feb,3-Mar,May-00,May-00
2020-21-JamesMadison,2020-21,James Madison,CAA,,,137,136,168,175,7-Oct,3-Aug,4-Feb,3-Mar,233,222,0-1,0-0,3-May,3-May
2020-21-KentSt.,2020-21,Kent St.,MAC,,,112,112,155,170,14-8,7-Dec,1-Feb,5-Jun,149,66,0-2,4-Jan,2-May,Aug-00
2020-21-AppState,2020-21,App State,Sun Belt,68,AQ,210,210,219,202,13-11,8-Nov,3-Feb,7-Apr,236,98,0-2,0-1,2-Jul,6-Jun
2020-21-Troy,2020-21,Troy,Sun Belt,,,286,286,187,190,17-Aug,13-May,4-Mar,11-Feb,201,126,0-2,0-3,7-Jan,5-Jul
2020-21-TennesseeTech,2020-21,Tennessee Tech,OVC,,,316,316,193,192,22-May,15-May,0-7,0-16,183,55,0-3,0-3,0-10,6-May
2020-21-WeberSt.,2020-21,Weber St.,Big Sky,,,116,117,294,228,14-6,4-Dec,2-Feb,4-Jun,263,68,0-2,0-1,1-Feb,2-Dec
2020-21-Chattanooga,2020-21,Chattanooga,SoCon,,,140,139,174,179,16-8,8-Sep,Jul-00,4-Sep,202,280,0-0,3-Mar,5-Apr,Sep-00
